Country,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Happiness score,EPI.new,HLT.new,AIR.new,H2O.new,COE.new,BDH.new,Population (2020)
Germany,82.61726309733005,88.08846749347654,90.880972617893,86.90869670460495,89.1986441061101,47.57258063825533,34.09627874780929,85.47166328225957,73.72881355932202,84.75390156062426,76.96566998892581,99.05263157894736,56.3,97.06572769953053,83830972.0
Ghana,45.12572277619644,50.64694331374881,52.86182935837476,32.453247503618286,70.78107197963939,51.91830784082765,95.89088836774616,45.560273213956066,14.915254237288131,10.92436974789916,10.6312292358804,16.736842105263154,32.8,55.28169014084507,31181428.0
Greece,71.64056619044102,79.31809728065105,85.52861990859995,85.91860434276248,32.8759159297349,0.0,91.5475673827434,65.42366623592396,63.22033898305085,72.14885954381754,62.34772978959026,98.10526315789474,59.8,74.29577464788733,10413936.0
Guinea,62.59914244439861,38.912753024455014,46.76285072809165,12.76128369901275,61.09536164402638,54.5452114294457,78.50163883889097,45.911020860254766,21.525423728813557,9.723889555822328,16.943521594684384,6.631578947368422,24.9,64.31924882629109,13191279.0
Honduras,72.12669740145843,51.13253883290213,66.13907436135221,55.115521966446806,81.7453147690106,47.612701915873515,86.52223744111264,66.78973601624517,29.830508474576263,22.328931572629052,28.349944629014395,28.210526315789473,52.6,64.43661971830987,9931333.0
Hungary,71.03141939290728,81.29433702043025,93.68976149657642,69.96700811217039,68.92920106606601,36.869261768848645,88.27946222076143,67.97120177219865,61.35593220338982,43.45738295318128,35.991140642303435,60.21052631578947,53.1,84.74178403755869,9655983.0
Iceland,95.6542233314546,88.68841277386298,100.0,89.43893647072412,96.04663483807684,64.45217159782483,68.72164581280083,95.1264537566919,74.40677966101694,100.0,100.0,100.0,73.7,60.093896713615024,341628.0
India,41.07719063505576,54.49487846154534,50.203008519111904,41.58416456529574,88.84464439069038,48.599582049359675,78.55079250276448,25.3461325456895,0.0,1.320528211284513,2.325581395348838,15.26315789473684,0.0,0.0,1382345085.0
Indonesia,66.7431274035726,63.931626912322656,80.07828692476006,50.27502752121711,90.55797919738268,100.0,89.96884447012025,52.35370131068858,15.762711864406777,16.686674669867948,17.497231450719823,24.73684210526316,17.4,53.28638497652583,274021604.0
Iran,57.31825059988495,67.41191319020274,75.58356295613746,66.00660509210502,34.17066542339391,63.22410976042625,77.9656095305887,45.85563965294443,26.44067796610169,36.61464585834334,39.756367663344406,51.26315789473684,6.9,25.23474178403756,84176929.0
